ID,Latitude,Longitude,Date,MODIS_Tile,MCD15A3H_061_Line_Y_500m,MCD15A3H_061_Sample_X_500m,MCD15A3H_061_FparStdDev_500m,MCD15A3H_061_Fpar_500m,MCD15A3H_061_LaiStdDev_500m,MCD15A3H_061_Lai_500m,MCD15A3H_061_FparExtra_QC,MCD15A3H_061_FparLai_QC,MCD15A3H_061_FparExtra_QC_bitmask,MCD15A3H_061_FparExtra_QC_LandSea_Pass-Thru,MCD15A3H_061_FparExtra_QC_LandSea_Pass-Thru_Description,MCD15A3H_061_FparExtra_QC_Snow_Ice,MCD15A3H_061_FparExtra_QC_Snow_Ice_Description,MCD15A3H_061_FparExtra_QC_Aerosol,MCD15A3H_061_FparExtra_QC_Aerosol_Description,MCD15A3H_061_FparExtra_QC_Cirrus,MCD15A3H_061_FparExtra_QC_Cirrus_Description,MCD15A3H_061_FparExtra_QC_Internal_CloudMask,MCD15A3H_061_FparExtra_QC_Internal_CloudMask_Description,MCD15A3H_061_FparExtra_QC_Cloud_Shadow,MCD15A3H_061_FparExtra_QC_Cloud_Shadow_Description,MCD15A3H_061_FparExtra_QC_SCF_Biome_Mask,MCD15A3H_061_FparExtra_QC_SCF_Biome_Mask_Description,MCD15A3H_061_FparLai_QC_bitmask,MCD15A3H_061_FparLai_QC_MODLAND,MCD15A3H_061_FparLai_QC_MODLAND_Description,MCD15A3H_061_FparLai_QC_Sensor,MCD15A3H_061_FparLai_QC_Sensor_Description,MCD15A3H_061_FparLai_QC_DeadDetector,MCD15A3H_061_FparLai_QC_DeadDetector_Description,MCD15A3H_061_FparLai_QC_CloudState,MCD15A3H_061_FparLai_QC_CloudState_Description,MCD15A3H_061_FparLai_QC_SCF_QC,MCD15A3H_061_FparLai_QC_SCF_QC_Description
OS,29.64,-82.955,2023-01-21,h10v06,86.0,1895.0,0.11,0.64,0.5,1.5,0.0,2.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-01-25,h10v06,86.0,1895.0,0.01,0.82,0.2,2.7,0.0,16.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present in pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-01-29,h10v06,86.0,1895.0,0.13,0.63,0.5,1.5,0.0,0.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-02-02,h10v06,86.0,1895.0,0.1,0.71,0.5,1.9,0.0,0.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-02-06,h10v06,86.0,1895.0,0.01,0.82,0.2,2.7,0.0,16.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present in pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-02-10,h10v06,86.0,1895.0,0.06,0.74,0.4,2.0,0.0,0.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-02-14,h10v06,86.0,1895.0,0.09,0.5,0.4,1.3000001,8.0,0.0,0b00001000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-02-18,h10v06,86.0,1895.0,0.09,0.69,0.5,2.2,0.0,2.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-02-22,h10v06,86.0,1895.0,0.03,0.79,0.3,3.1000001,8.0,2.0,0b00001000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-02-26,h10v06,86.0,1895.0,0.11,0.55,0.5,1.5,0.0,0.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-03-02,h10v06,86.0,1895.0,0.09,0.69,0.6,2.2,0.0,0.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-03-06,h10v06,86.0,1895.0,0.02,0.86,0.4,4.2000003,0.0,0.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-03-10,h10v06,86.0,1895.0,0.02,0.87,0.6,4.5,0.0,2.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-03-14,h10v06,86.0,1895.0,0.01,0.89,0.7,5.3000002,0.0,32.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-03-18,h10v06,86.0,1895.0,0.02,0.87,0.8,4.7000003,0.0,2.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-03-22,h10v06,86.0,1895.0,0.01,0.89,0.5,5.5999999,0.0,32.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-03-26,h10v06,86.0,1895.0,0.01,0.89,0.8,5.5999999,8.0,50.0,0b00001000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00110010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present in pixel,0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-03-30,h10v06,86.0,1895.0,0.01,0.9,0.5,5.9000001,0.0,32.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-04-03,h10v06,86.0,1895.0,0.02,0.87,0.7,5.4000001,64.0,32.0,0b01000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b1,Cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-04-07,h10v06,86.0,1895.0,248.0,0.5,248.0,1.4,48.0,113.0,0b00110000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b1,Cirrus was detected,0b1,Clouds were detected,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b01110001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present in pixel,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
OS,29.64,-82.955,2023-04-11,h10v06,86.0,1895.0,248.0,1.0,248.0,7.0,8.0,107.0,0b00001000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b01101011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
OS,29.64,-82.955,2023-04-15,h10v06,86.0,1895.0,0.01,0.89,0.4,6.2000003,0.0,34.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-04-19,h10v06,86.0,1895.0,0.02,0.88,0.7,5.8000002,72.0,34.0,0b01001000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b1,Cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-04-23,h10v06,86.0,1895.0,0.06,0.8,0.9,4.0,0.0,2.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-04-27,h10v06,86.0,1895.0,0.03,0.87,0.9,5.5,72.0,50.0,0b01001000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b1,Cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00110010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present in pixel,0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-05-01,h10v06,86.0,1895.0,0.01,0.89,0.4,6.4000001,0.0,32.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-05-05,h10v06,86.0,1895.0,248.0,1.0,248.0,7.0,72.0,115.0,0b01001000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b1,Cloud shadow detected,0b0,"Biome outside interval <1,4>",0b01110011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present in pixel,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
OS,29.64,-82.955,2023-05-09,h10v06,86.0,1895.0,0.0,0.9,0.2,6.5999999,8.0,32.0,0b00001000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-05-13,h10v06,86.0,1895.0,0.02,0.86,0.6,5.3000002,32.0,40.0,0b00100000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b1,Clouds were detected,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00101000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-05-17,h10v06,86.0,1895.0,0.0,0.9,0.2,6.5,8.0,34.0,0b00001000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-05-21,h10v06,86.0,1895.0,0.05,0.21,0.1,0.5,32.0,16.0,0b00100000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b1,Clouds were detected,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present in pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
OS,29.64,-82.955,2023-05-25,h10v06,86.0,1895.0,0.01,0.89,0.4,6.4000001,0.0,32.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-05-29,h10v06,86.0,1895.0,248.0,0.38,248.0,0.9,32.0,105.0,0b00100000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b1,Clouds were detected,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b01101001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
OS,29.64,-82.955,2023-06-02,h10v06,86.0,1895.0,0.0,0.9,0.0,6.9000001,72.0,32.0,0b01001000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b1,Cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
OS,29.64,-82.955,2023-06-06,h10v06,86.0,1895.0,0.01,0.89,0.4,6.3000002,0.0,32.0,0b00000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
